round,avgFit,bestFist,avgNode,bestNode,bestBotName
86,0.6277196012655442,0.7794775667900007,494.0,482,sampleex.X_GPbot_86_27
87,0.5868367152816988,0.8312397250430384,508.6666666666667,414,sampleex.X_GPbot_87_9
88,0.6453305549821463,0.7866910335698144,477.3333333333333,494,sampleex.X_GPbot_88_29
89,0.6708464655058414,0.8149889456151094,482.6666666666667,433,sampleex.X_GPbot_89_9
90,0.6227275270891466,0.8235594692938496,494.1333333333333,527,sampleex.X_GPbot_90_29
91,0.6075916331890577,0.8630005211127427,498.6,479,sampleex.X_GPbot_91_14
92,0.5947918962695905,0.7918841585016447,499.43333333333334,512,sampleex.X_GPbot_92_19
93,0.5727235146344409,0.7964137158802739,505.9,472,sampleex.X_GPbot_93_17
94,0.5351079726099462,0.8401009977946851,479.9,471,sampleex.X_GPbot_94_9
95,0.6421863794447195,0.7958781146910644,492.0,503,sampleex.X_GPbot_95_26
96,0.6669630949363125,0.7985977869046551,476.1333333333333,451,sampleex.X_GPbot_96_20
97,0.6708457032531727,0.7867775036831466,478.76666666666665,425,sampleex.X_GPbot_97_28
98,0.6271084103821782,0.7728785466266078,468.6666666666667,462,sampleex.X_GPbot_98_2
99,0.6390726792300483,0.8125826997288771,503.53333333333336,685,sampleex.X_GPbot_99_23
100,0.6417180100809112,0.7736728118436517,528.3,600,sampleex.X_GPbot_100_14
101,0.6386651243256497,0.8720793890383067,488.6333333333333,514,sampleex.X_GPbot_101_15
102,0.5981764926755011,0.7947822778341521,492.43333333333334,514,sampleex.X_GPbot_102_1
103,0.6500873468225574,0.7783128419586579,498.1333333333333,573,sampleex.X_GPbot_103_8
104,0.6204245684302244,0.8282742032230977,501.1666666666667,454,sampleex.X_GPbot_104_29
105,0.6292544837425013,0.811494094231826,498.06666666666666,393,sampleex.X_GPbot_105_9
106,0.6722481900799436,0.8005659510085824,498.93333333333334,429,sampleex.X_GPbot_106_19
107,0.6666307347576754,0.8132458750101326,494.6,473,sampleex.X_GPbot_107_21
108,0.5960420362360703,0.8651293772304838,487.03333333333336,506,sampleex.X_GPbot_108_16
109,0.6618541603761262,0.8160623771234276,498.6333333333333,481,sampleex.X_GPbot_109_8
110,0.6555506774107187,0.7807416403277013,533.4,395,sampleex.X_GPbot_110_4
111,0.6704964941700127,0.823676390491848,535.8666666666667,514,sampleex.X_GPbot_111_28
112,0.6549113924223288,0.7689371721384867,534.8,562,sampleex.X_GPbot_112_2
113,0.6617510110991142,0.8500847185453396,517.4333333333333,514,sampleex.X_GPbot_113_1
114,0.6074321692266058,0.7965842691898136,517.8,562,sampleex.X_GPbot_114_23
115,0.5247670340691784,0.777084480114126,522.5333333333333,465,sampleex.X_GPbot_115_28
116,0.5982716311609593,0.8081626975182216,506.76666666666665,465,sampleex.X_GPbot_116_0
117,0.5733996461311069,0.7976399047567347,521.5666666666667,568,sampleex.X_GPbot_117_14
118,0.6174227239718101,0.8291355970720953,538.8,482,sampleex.X_GPbot_118_2
119,0.5992613953408354,0.8376774566841648,547.4333333333333,479,sampleex.X_GPbot_119_14
120,0.6016006199079099,0.7983895889121181,538.2666666666667,479,sampleex.X_GPbot_120_8
121,0.6179492407693954,0.8179271959905137,531.3333333333334,479,sampleex.X_GPbot_121_0
122,0.6068651498191272,0.8024743249476144,511.3,576,sampleex.X_GPbot_122_7
